Statistical profiling result from isolate-0x36f0a00-v8.log, (12377 ticks, 236 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *minimap.findIndex /home/ubuntu/workspace/arras.io/src/server/server.js:3505:35
      1    0.0%    0.0%  LazyCompile: *mark /home/ubuntu/workspace/arras.io/src/server/server.js:2257:11
      1    0.0%    0.0%  LazyCompile: *makefood /home/ubuntu/workspace/arras.io/src/server/server.js:4463:10
      1    0.0%    0.0%  LazyCompile: *isInRoom /home/ubuntu/workspace/arras.io/src/server/server.js:100:12
      1    0.0%    0.0%  LazyCompile: *internalmap.map.e /home/ubuntu/workspace/arras.io/src/server/server.js:3453:41
      1    0.0%    0.0%  LazyCompile: *internalmap.forEach.e /home/ubuntu/workspace/arras.io/src/server/server.js:3432:30
      1    0.0%    0.0%  LazyCompile: *internalmap.findIndex.e /home/ubuntu/workspace/arras.io/src/server/server.js:3441:41
      1    0.0%    0.0%  LazyCompile: *goog.structs.Heap.moveDown_ /home/ubuntu/workspace/arras.io/node_modules/google-closure-library/closure/goog/structs/heap.js:160:49
      1    0.0%    0.0%  LazyCompile: *exports.gaussInverse /home/ubuntu/workspace/arras.io/src/server/lib/random.js:36:24
      1    0.0%    0.0%  LazyCompile: *exports.angleDifference /home/ubuntu/workspace/arras.io/src/server/lib/util.js:22:9
      1    0.0%    0.0%  LazyCompile: *entitiesLiveLoop /home/ubuntu/workspace/arras.io/src/server/server.js:4096:27
      1    0.0%    0.0%  LazyCompile: *entitiesActivationLoop /home/ubuntu/workspace/arras.io/src/server/server.js:4091:33
      1    0.0%    0.0%  LazyCompile: *data.forEach.d /home/ubuntu/workspace/arras.io/src/server/server.js:3440:23
      1    0.0%    0.0%  LazyCompile: *collision /home/ubuntu/workspace/arras.io/src/server/server.js:4042:10
      1    0.0%    0.0%  LazyCompile: *append internal/linkedlist.js:29:16
      1    0.0%    0.0%  LazyCompile: *SpreadArguments native spread.js:5:25
      1    0.0%    0.0%  LazyCompile: *MapFindEntry native collection.js:40:22
      1    0.0%    0.0%  LazyCompile: *Grid.toHash /home/ubuntu/workspace/arras.io/src/server/lib/hshg.js:194:34
      1    0.0%    0.0%  LazyCompile: *Grid.addObject /home/ubuntu/workspace/arras.io/src/server/lib/hshg.js:212:37
      1    0.0%    0.0%  LazyCompile: *<anonymous> /home/ubuntu/workspace/arras.io/src/server/lib/definitions.js:6:25
      1    0.0%    0.0%  Function: ~unmask /home/ubuntu/workspace/arras.io/node_modules/ws/lib/BufferUtil.js:62:18
      1    0.0%    0.0%  Function: ~toRealPath module.js:153:20
      1    0.0%    0.0%  Function: ~think /home/ubuntu/workspace/arras.io/src/server/server.js:327:7
      1    0.0%    0.0%  Function: ~think /home/ubuntu/workspace/arras.io/src/server/server.js:286:7
      1    0.0%    0.0%  Function: ~takeSelfie /home/ubuntu/workspace/arras.io/src/server/server.js:2029:12
      1    0.0%    0.0%  Function: ~stripShebang internal/module.js:48:22
      1    0.0%    0.0%  Function: ~stripBOM internal/module.js:38:18
      1    0.0%    0.0%  Function: ~storeHeader _http_outgoing.js:424:21
      1    0.0%    0.0%  Function: ~statNames.forEach.a /home/ubuntu/workspace/arras.io/src/server/server.js:3057:27
      1    0.0%    0.0%  Function: ~spawnCrasher /home/ubuntu/workspace/arras.io/src/server/server.js:4261:21
      1    0.0%    0.0%  Function: ~sockets.connect.getminimap /home/ubuntu/workspace/arras.io/src/server/server.js:3502:13
      1    0.0%    0.0%  Function: ~set /home/ubuntu/workspace/arras.io/src/server/server.js:3729:12
      1    0.0%    0.0%  Function: ~sendFrame /home/ubuntu/workspace/arras.io/node_modules/ws/lib/Sender.js:385:13
      1    0.0%    0.0%  Function: ~runInThisContext vm.js:138:26
      1    0.0%    0.0%  Function: ~runInThisContext bootstrap_node.js:494:28
      1    0.0%    0.0%  Function: ~room.isInNorm.location /home/ubuntu/workspace/arras.io/src/server/server.js:189:17
      1    0.0%    0.0%  Function: ~require internal/module.js:8:19
      1    0.0%    0.0%  Function: ~regenerate /home/ubuntu/workspace/arras.io/src/server/server.js:1424:12
      1    0.0%    0.0%  Function: ~readableAddChunk _stream_readable.js:219:26
      1    0.0%    0.0%  Function: ~readBuffer /home/ubuntu/workspace/arras.io/node_modules/ws/lib/Receiver.js:78:14
      1    0.0%    0.0%  Function: ~pushEndpoints /home/ubuntu/workspace/arras.io/src/server/server.js:2329:32
      1    0.0%    0.0%  Function: ~purgeEntities /home/ubuntu/workspace/arras.io/src/server/server.js:1342:23
      1    0.0%    0.0%  Function: ~publish /home/ubuntu/workspace/arras.io/src/server/server.js:3114:22
      1    0.0%    0.0%  Function: ~onread net.js:569:16
